Food at Home Dollars to Weight Conversions (DO NOT EDIT) ,,,,,,,,
,,,,,,,,
,,,,,,,,
CEX item,BLS item(s),BLS price (per lb),USDA item(s),USDA price (per lb),Other Item(s),Price (per lb),PRICE USED (per lb),Notes
Flour,"Flour, white, all purpose, per lb. (453.6 gm)   ",0.525,,,,,0.525,
Prepared Flour Mixes,"Flour, white, all purpose, per lb. (453.6 gm)   ",0.525,,,,,0.525,
Rice,"Rice, white, long grain, uncooked, per lb. (453.6 gm)   ",0.716166667,,,,,0.716166667,
Pasta,"Spaghetti and macaroni, per lb. (453.6 gm)      ",1.30,,,,,1.30,
White Bread,"Bread, white, pan, per lb. (453.6 gm)   ",1.37125,,,,,1.37125,
Bread Excluding White,"Bread, French, per lb. (453.6 gm)   ",1.801333333,,,,,1.882875,
,"Bread, whole wheat, pan, per lb. (453.6 gm)     ",1.964416667,,,,,,
Cookies,"Cookies, chocolate chip, per lb. (453.6 gm)     ",3.346916667,,,,,3.346916667,
Ground Beef,"Ground beef, 100% beef, per lb. (453.6 gm)      ",3.750083333,,,,,4.571277778,
,"Ground beef, lean and extra lean, per lb. (453.6 gm)    ",5.71125,,,,,,
,"All uncooked ground beef, per lb. (453.6 gm)    ",4.2525,,,,,,
Chuck Roast,"Ground chuck, 100% beef, per lb. (453.6 gm)     ",3.845166667,,,,,4.656416667,
,"Chuck roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)   ",4.902416667,,,,,,
,"Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)  ",5.221666667,,,,,,
Round Roast,"Round roast, USDA Choice, boneless, per lb. (453.6 gm)  ",5.20725,,,,,5.20725,
Other Roast,"All Uncooked Beef Roasts, per lb. (453.6 gm)    ",5.456666667,,,,,5.456666667,
Round Steak,"Steak, round, USDA Choice, boneless, per lb. (453.6 gm) ",5.896833333,,,,,5.823208333,
,"Steak, round, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)  ",5.749583333,,,,,,
Sirloin Steak,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)       ",8.38575,,,,,8.38575,
Other Steak,"All Uncooked Beef Steaks, per lb. (453.6 gm)    ",7.519,,,,,7.519,
Other Beef,"All Uncooked Other Beef (Excluding Veal), per lb. (453.6 gm)    ",4.497833333,,,,,4.9085,
,"Beef for stew, boneless, per lb. (453.6 gm)     ",5.319166667,,,,,,
Bacon,"Bacon, sliced, per lb. (453.6 gm)    ",5.42075,,,,,5.42075,
Pork Chops,"Chops, center cut, bone-in, per lb. (453.6 gm)  ",3.870833333,,,,,3.876416667,
,"Chops, boneless, per lb. (453.6 gm)     ",4.087916667,,,,,,
,"All Pork Chops, per lb. (453.6 gm)      ",3.6705,,,,,,
Ham,"Ham, rump or shank half, bone-in, smoked,per lb. (453.6 gm)     ",2.1016,,,,,3.067341667,
,"Ham, boneless, excluding canned, per lb. (453.6 gm)     ",4.033083333,,,,,,
Pork Sauage,"All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)   ",2.679666667,,,,,2.679666667,
Other Pork,"All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)   ",2.679666667,,,,,2.679666667,
Frankfurters,"Frankfurters, all meat or all beef, per lb. (453.6 gm)  ",3.24,,,,,3.24,
Bologna/Liverwurst/Salami,"Bologna, all beef or mixed, per lb. (453.6 gm)  ",2.650666667,,,,,2.650666667,
Other Lunchmeat,"Bologna, all beef or mixed, per lb. (453.6 gm)  ",2.650666667,,,,,2.650666667,
Lamb and Other Meat,"Ground chuck, 100% beef, per lb. (453.6 gm)     ",3.845166667,,,,,4.228325,
,"Ground beef, 100% beef, per lb. (453.6 gm)      ",3.750083333,,,,,,
,"Ground beef, lean and extra lean, per lb. (453.6 gm)    ",5.71125,,,,,,
,"Chuck roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)   ",4.902416667,,,,,,
